Tweet Text,Image URL,Token Name,Ticker
"“Time is the true currency.”

— Elon Musk",https://pump.mypinata.cloud/ipfs/QmNzT34PBLpgB9GUCkcebkQa1yt3vnXg8bKCiiVmbrGuyo?img-width=800&img-dpr=2&img-onerror=redirect,TRUE CURRENCY,TIME
I’m sorry bruh i cant call that cute,https://pump.mypinata.cloud/ipfs/QmbHrAaLyz8dpumiwJcQZG3yH7LL8YtoBELsVQ5f5ugYf5?img-width=800&img-dpr=2&img-onerror=redirect,PumpFun Dog Name,WildThang
Glad to be a part of changing drug testing away from beagles toward testing with A.I.!,https://pump.mypinata.cloud/ipfs/QmXh2dbX1SWktEmTgmBYX7sZ3wzPgc5rASV9LQPsyKk29t?img-width=800&img-dpr=2&img-onerror=redirect,NEW US SENATOR DOG,Lily
Trumpanini Donalino. $Trenchrot,https://pump.mypinata.cloud/ipfs/QmeMu2UZz2VHohChwbytNoEm2uZ5JkhiLm7MzAU8C99Sqn?img-width=800&img-dpr=2&img-onerror=redirect,Trumpanini Donalino,trenchrot
"so we all know $DOGE is the first dog memecoin but what about the first memed dog on the internet?

i did some digging and found this dog named ""schlop"" who quite literally is the FIRST memed dog on the internet 

with memes coming from 2011 on 4chan

A thread with what i found",https://pump.mypinata.cloud/ipfs/QmWSv5KUQLjTs1txprd8w4749mMpxy7PvgHvT6DGMpv7dn?img-width=800&img-dpr=2&img-onerror=redirect,First dog Meme Before Doge,SCHLOP
SELAH,https://pump.mypinata.cloud/ipfs/QmcEhFdqd2fPm6tH2PSbuBHz9CgDaB3Ro8tgyDxQmo5PWJ?img-width=800&img-dpr=2&img-onerror=redirect,NEW KANYE WEST CHILD,SELAH
Just pulled a 1st edition Zippy🫣,https://pump.mypinata.cloud/ipfs/QmaBMoBhajnLU5nx65gw3HJFHxw4x3VzoBD3iwJvc1KJEC?img-width=800&img-dpr=2&img-onerror=redirect,DEBRIDGE CAT,Zippy
[No tweet provided],https://pump.mypinata.cloud/ipfs/QmfRT1vyot7YqJ527y6ZbdmAA19JVgyREsdzBeNC32THmf?img-width=800&img-dpr=2&img-onerror=redirect,XMAN ,XMAN 
[No tweet provided],https://pump.mypinata.cloud/ipfs/QmQ5xDAPF23EhhQ62pn5pGBRuWXwA8nz6xvHamUC7pzF1g?img-width=800&img-dpr=2&img-onerror=redirect,48th PRESIDENT OF THE USA,ERICTRUMP
And the 90’s,https://pump.mypinata.cloud/ipfs/QmTiRLbQuZ37byBhNPSrNujGu4mcJX3MLH3c4h6hcLRCcr?img-width=800&img-dpr=2&img-onerror=redirect,Feeling in the 2000s,Majestic
The most entertaining outcome...,https://pbs.twimg.com/media/GpWQvr9WwAAas3x?format=jpg&name=small,Trump 2032,Trump2032
Think ahead!,https://pump.mypinata.cloud/ipfs/QmXUnW7cWC9uHx3iSsFYGqHP6GvS2NgtfpJ8haZYZoLqj9?img-width=800&img-dpr=2&img-onerror=redirect,49th President,Trump
"Couples who fart around each other often share deeper trust and comfort, showing emotional safety and intimacy. 

It’s a common milestone that builds connection and strengthens the bond.",https://pump.mypinata.cloud/ipfs/QmQ2AqZsy2RgrsTqnrqwaHTm9jznjfJmEoThYDRcAeEEr6?img-width=800&img-dpr=2&img-onerror=redirect,FARTJACK ,FartJack
"😍 I love a good pet thread 🥰 My golden Ziggy has the same energy as Maggie, joyful (and goofy) with many heart attack moments",https://pump.mypinata.cloud/ipfs/QmXmomUmWkMt1bC6rc9oT3SDaaqyeuh5hzsV8VVDNuhRSg?img-width=800&img-dpr=2&img-onerror=redirect,Grizzle's Dog,ZIGGY
"Mars, America 📍",https://pump.mypinata.cloud/ipfs/QmPov4Dawrhzn4xS7243bVXhfeiedgbUQLt7PGm1e2vi55?img-width=800&img-dpr=2&img-onerror=redirect,Mars Of America,MOA
[No tweet provided],https://pump.mypinata.cloud/ipfs/QmVdF3PXZy2CFjghZvip2QokaWi7CmepbHxgAwdaSJB5ZA?img-width=800&img-dpr=2&img-onerror=redirect,Rugger ,Rugger 
Did u feed it ? Be honest,https://pump.mypinata.cloud/ipfs/QmZjc2mE1K8s4gVTgVXdKUKXMznHphHUkWnFcVBaMg6X9n?img-width=800&img-dpr=2&img-onerror=redirect,Jupagatchi ,Jupagatchi 
the pumpdotfun trencher,https://pump.mypinata.cloud/ipfs/QmSAupCBWHqwGj8xxiHpp5snPmesGpEz94uMXPjbFRwXeT?img-width=800&img-dpr=2&img-onerror=redirect,Trenchcoin ,Trenchcoin 
TSA officers at Boston Logan Airport stopped a passenger from traveling with a replica Call of Duty monkey bomb in their checked bag,https://pump.mypinata.cloud/ipfs/QmRRNhLsDZBvAbCdbxhvEpXFY3Bc8A8tBJEDxd4K8p574u?img-width=800&img-dpr=2&img-onerror=redirect,Surprise Monkey,BOMB
JD Vance is declared 'the eyeliner man' and dressed up in pink while Trump is likened to a North Korean dictator as furious China unleashes meme warfare on US,https://pump.mypinata.cloud/ipfs/QmcQLJ3r3pzrxcKvqUnzzortsNxtRJq9wfxwWawAciW8ee?img-width=800&img-dpr=2&img-onerror=redirect,Eyeliner Man,JDVANCE
[No tweet provided],https://pump.mypinata.cloud/ipfs/QmQ95k3Y17HxSUrNiQoVGiZW6ur1nS9tbEyFxJ2Nmaeioz?img-width=800&img-dpr=2&img-onerror=redirect,Barron Trump new X username,memeus
[No tweet provided],https://pump.mypinata.cloud/ipfs/QmUWMd378grAnapWKXEQPcXz7HG5DZ2BYrFoWJ9mJcdM4j?img-width=800&img-dpr=2&img-onerror=redirect,Japanese Dancing Hamster,tanoshi
Buyers have poured tens of millions of dollars into President Donald Trump’s meme coin since his team advertised Wednesday that top purchasers could join Trump for an “intimate private dinner” next month.,https://pump.mypinata.cloud/ipfs/QmNMw7nWNWFcUKToKHE1cMxChpbjaiBgniaSRdUFhJdWQg?img-width=800&img-dpr=2&img-onerror=redirect,KEEP AMERICA GREAT,KAG
[No tweet provided],https://pump.mypinata.cloud/ipfs/QmcekFZmkW64dgKjbuxNGYP3tnTcaYBwehFei9MzrPFBXz?img-width=800&img-dpr=2&img-onerror=redirect,BARRON Token,BARRON
birdandskullkey?,https://pump.mypinata.cloud/ipfs/QmZuXEfhCaFspJgUoGG2LkZEb8RmRhEeetmEtGqqyeU5uR?img-width=800&img-dpr=2&img-onerror=redirect,birdandskullkey ,BIRDANDSKU
"Elon Musk’s dilemma 

Gork or Grok",https://pbs.twimg.com/media/GqiiayBboAA6aFM?format=jpg&name=medium,GORK OR GROK,GORK
gork has made 𝕏 more entertaining. 😂,https://pbs.twimg.com/media/GqrKrN-WgAABwl7?format=jpg&name=900x900,MORE FUN,GORK
[No tweet provided],https://pbs.twimg.com/media/GqrCoiyWoAED8Ky?format=jpg&name=medium,ELON MUSK,X
@barkmeta Have a great Sunday to all the dog lovers,https://pbs.twimg.com/media/Gqqgbs2WwAA03vd?format=jpg&name=medium,BarkMeta Dog,ATLAS
"Solito - neon spirit fox 

My version of 
@GamingOnSolana_
 mascot",https://pbs.twimg.com/media/GqrLjZjWsAA5h8V?format=jpg&name=medium,NEW SOLANA GAMING MASCOT,SOLITO
"South Carolina petting zoo worker apparently killed by kangaroo after stepping into its pen to ‘roughhouse’ with it
Do you like him?",https://pbs.twimg.com/media/GqrANWkXsAAa1a5?format=jpg&name=medium,Kangaroo Showdown,HOP
"Pope Leo XIV calls for end of fighting in Ukraine, Gaza: ‘Never again war’ ",https://pbs.twimg.com/media/GqqpndsXcAAU31x?format=jpg&name=medium,NEVER AGAIN WAR,POPELEO
"Happy Mother’s Day to all the incredible MAHA Moms!

Today, we honor you—the powerful, nurturing, relentless force behind our families and communities. You carry generations on your shoulders with grace, courage, and unwavering love. You are the heart of this movement. Your spirit of commitment to our children is its soul.

You raise strong children, teaching them to ask the hard questions. You nurture in them curiosity, critical thinking skills, and a fierce thirst for freedom. You lead with purpose. You know that love is effort—including the effort to sign the petitions, send out the emails, walk through legislative lobbies of Congress, stand on picket lines, and show up at the rallies—often with children in hand. And you fight for their future from a platform of truth, justice, and courage.

On this Mother’s Day, I stand with every MAHA Mom. I thank you for your sacrifices. I celebrate your strength. And I commit—just like you do every single day—to end the childhood chronic disease epidemic and Make America Healthy Again.",https://pbs.twimg.com/media/GqrOnAVWEAA0zFR?format=jpg&name=medium,MAHA MOMS,MAHAMOMS
"FIGHT! FIGHT! FIGHT! 

Spotted in the Oval Office",https://pbs.twimg.com/media/GqnPNeAWoAAg6bT?format=jpg&name=medium,Oval Office Brawl,FIGHT
"The spectacular white-faced ibis with its colorful purple, crimson, teal and gold feathers and ruby-red eyes is sure to brighten your day!  

Photo by Leslie Scopes Anderson",https://pbs.twimg.com/media/Gql5FjcWMAAO3-5?format=jpg&name=medium,Spectacular Ibis,IBIS
"""Congratulations to Cardinal Robert Francis Prevost, who was just named Pope. It is such an honor to realize that he is the first American Pope. What excitement, and what a Great Honor for our Country. I look forward to meeting Pope Leo XIV. It will be a very meaningful moment!"" –President Donald J. Trump",https://pbs.twimg.com/media/Gqcko9aWgAAjJHP?format=jpg&name=medium,The First American Pope,LEOXIV
[No tweet provided],https://pbs.twimg.com/media/GqcZE5-X0AEnGa1?format=jpg&name=medium,Pope of the united states,POTUS
"NEW REPORT: An illegal alien convicted of raping a 13-year-old fled to the U.S. and was found living in a Massachusetts daycare.

Biden’s open borders let this filth live freely for years. President Trump’s policies will hunt down and deport every last predator.",https://pbs.twimg.com/media/GqWjGztX0AEzmx9?format=jpg&name=medium,ILLEGAL ALIEN CHILD RAPIST,IACR
"Serial border crasher Felix Rojas raped a corpse on a Manhattan subway. Charged with rape and grand larceny—now under an ICE detainer. 

The media dares to call him a “Brooklyn man.” He’s a predator, not a New Yorker.",https://pbs.twimg.com/media/GqOerhYWcAEYC6Q?format=jpg&name=medium,Rapist Alien Arrested,FELIXROJAS
Trump Administration closes experimentation labs accused of brutally killing thousands of beagles for 40+ years! ,https://pbs.twimg.com/card_img/1919220833152606209/sAsNW09J?format=jpg&name=medium,Laboratory Freedom Dogs,BEAGLES
"Across every galaxy—known and unknown—no force rivals our discipline, strength, and precision.

We don’t just defend the world. We protect the future.

Victory is forged, not found. May the 4th be with you.

#Readiness #Lethality #BeAllYouCanBe  #maythe4thbewithyou 
(AI-enhanced)
",https://pbs.twimg.com/media/GqFylSlbEAAAQ2g?format=jpg&name=medium,Victory Lightsaber Army ,USARMY
"Happy May the 4th to all, including the Radical Left Lunatics who are fighting so hard to to bring Sith Lords, Murderers, Drug Lords, Dangerous Prisoners, & well known MS-13 Gang Members, back into our Galaxy. You’re not the Rebellion—you’re the Empire.",https://pbs.twimg.com/media/GqHTM5AWEAAGxSF?format=jpg&name=mediumm,Jedi Trump,JEDITRUMP
"Ah yes, a true classic. We call this one... 'Not a Maryland Dad’",https://pbs.twimg.com/media/GqCw-ZaW4AA0Wbm?format=jpg&name=medium,Kilmar Abrego Garcia,MS13
[No tweet provided],https://pbs.twimg.com/media/Gp_j8NjXkAAX72e?format=jpg&name=medium,Pope Trump,POPETRUMP
Four simple truths...,https://pbs.twimg.com/media/Gp9llR9W4AAki8i?format=jpg&name=medium,Four Simple Truths,FST
The only DEI we support: Deport Every Illegal,https://pbs.twimg.com/media/Gp9L3t_XUAEqwRB?format=jpg&name=medium,Deport Every Illegal,DEI
"100 men vs 1 gorilla is still up for debate.

Meanwhile, 142,000+ illegal alien criminals went up against 1 President Trump —

They all got deported",https://pbs.twimg.com/media/Gp5N3SVXEAA3le_?format=jpg&name=medium,"142,000+ Aliens vs. 1 President Trump ",142KVPOTUS
100 days of President Trump—and we’re nowhere near tired of winning. To the haters: we’re just getting started. AMERICA FIRST FOREVER!,https://pbs.twimg.com/media/GpuDYQ5XIAAUF1H?format=jpg&name=medium,ONE HUNDRED DAYS IN OFFICE,OHDIO
“I'm bringing Columbus Day back from the ashes...” —President Donald J. Trump,https://pbs.twimg.com/media/Gpj5_A8W4AAks5D?format=jpg&name=medium,Columbus Day Revival  ,COLUMBUS
[No tweet provided],https://pbs.twimg.com/media/GqGMJ8ZWgAA-FeH?format=jpg&name=small,Samurai Doge Vibes,SAMURAIDOG
"""not a memecoin""🙄  listen.. lean-in guys, you have that whole laser-eyes thing going on.. search your feelings you know it be true. 
",https://pbs.twimg.com/media/GkOMR_mX0AAcL0a?format=jpg&name=medium,LASER EYES GUY,LEG